ining Epoch 1 --- Training Accuracy:  54.7%, Validation Accuracy:  69.5%,  Validation Loss: 1.803
Training Epoch 42 --- Training Accuracy:  97.7%, Validation Accuracy:  59.4%,  Validation Loss: 2.098
Training Epoch 43 --- Training Accuracy:  97.7%, Validation Accuracy:  60.9%,  Validation Loss: 2.056
Training Epoch 44 --- Training Accuracy:  96.1%, Validation Accuracy:  61.7%,  Validation Loss: 2.382
Training Epoch 45 --- Training Accuracy:  87.5%, Validation Accuracy:  49.2%,  Validation Loss: 2.928
Training Epoch 46 --- Training Accuracy:  96.9%, Validation Accuracy:  55.5%,  Validation Loss: 2.609
Training Epoch 47 --- Training Accuracy:  93.0%, Validation Accuracy:  50.8%,  Validation Loss: 2.661
Training Epoch 48 --- Training Accuracy:  99.2%, Validation Accuracy:  55.5%,  Validation Loss: 2.615
Training Epoch 49 --- Training Accuracy:  96.9%, Validation Accuracy:  64.8%,  Validation Loss: 2.467
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 2.834
Training Epoch 51 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 2.861
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 2.277
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 3.182
Training Epoch 54 --- Training Accuracy:  99.2%, Validation Accuracy:  52.3%,  Validation Loss: 3.355
Training Epoch 55 --- Training Accuracy:  99.2%, Validation Accuracy:  59.4%,  Validation Loss: 3.104
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 3.016
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 3.686
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 3.310
Training Epoch 59 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 3.249
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 3.187
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 3.883
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 4.593
Training Epoch 63 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 4.111
Training Epoch 64 --- Training Accuracy: 100.0%, Validation Accuracy:  51.6%,  Validation Loss: 4.326
Training Epoch 65 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 4.091
Training Epoch 66 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 3.423
Training Epoch 67 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 4.142
Training Epoch 68 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 4.158
Training Epoch 69 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 3.472
Training Epoch 70 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 4.578
Training Epoch 71 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 4.949
Training Epoch 72 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 4.151
Training Epoch 73 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 4.015
Training Epoch 74 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 4.750
Training Epoch 75 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 4.121
Training Epoch 76 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 4.059
Training Epoch 77 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 3.961
Training Epoch 78 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 4.771
Training Epoch 79 --- Training Accuracy: 100.0%, Validation Accuracy:  49.2%,  Validation Loss: 5.604
Training Epoch 80 --- Training Accuracy: 100.0%, Validation Accuracy:  52.3%,  Validation Loss: 5.024
Training Epoch 81 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 5.191
Training Epoch 82 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 4.931
Training Epoch 83 --- Training Accuracy: 100.0%, Validation Accuracy:  66.4%,  Validation Loss: 4.037
Training Epoch 84 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 4.919
Training Epoch 85 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 4.946
Training Epoch 86 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 4.086
Training Epoch 87 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 5.369
Training Epoch 88 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 5.781
Training Epoch 89 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 4.795
Training Epoch 90 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 4.626
Training Epoch 91 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 5.490
Training Epoch 92 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 4.730
Training Epoch 93 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 4.639

