Training Epoch 1 --- Training Accuracy:  45.3%, Validation Accuracy:  71.1%,  Validation Loss: 0.809
Training Epoch 27 --- Training Accuracy:  54.7%, Validation Accuracy:  53.1%,  Validation Loss: 1.462
Training Epoch 28 --- Training Accuracy:  60.2%, Validation Accuracy:  50.0%,  Validation Loss: 1.535
Training Epoch 29 --- Training Accuracy:  63.3%, Validation Accuracy:  58.6%,  Validation Loss: 1.240
Training Epoch 30 --- Training Accuracy:  69.5%, Validation Accuracy:  48.4%,  Validation Loss: 1.865
Training Epoch 31 --- Training Accuracy:  75.8%, Validation Accuracy:  54.7%,  Validation Loss: 1.588
Training Epoch 32 --- Training Accuracy:  78.9%, Validation Accuracy:  57.0%,  Validation Loss: 1.858
Training Epoch 33 --- Training Accuracy:  78.1%, Validation Accuracy:  61.7%,  Validation Loss: 2.213
Training Epoch 34 --- Training Accuracy:  86.7%, Validation Accuracy:  56.2%,  Validation Loss: 2.684
Training Epoch 35 --- Training Accuracy:  89.1%, Validation Accuracy:  62.5%,  Validation Loss: 2.739
Training Epoch 36 --- Training Accuracy:  91.4%, Validation Accuracy:  59.4%,  Validation Loss: 3.343
Training Epoch 37 --- Training Accuracy:  84.4%, Validation Accuracy:  68.0%,  Validation Loss: 2.515
Training Epoch 38 --- Training Accuracy:  92.2%, Validation Accuracy:  55.5%,  Validation Loss: 3.148
Training Epoch 39 --- Training Accuracy:  97.7%, Validation Accuracy:  60.2%,  Validation Loss: 3.345
Training Epoch 40 --- Training Accuracy:  98.4%, Validation Accuracy:  66.4%,  Validation Loss: 2.970
Training Epoch 41 --- Training Accuracy:  89.1%, Validation Accuracy:  54.7%,  Validation Loss: 4.259
Training Epoch 42 --- Training Accuracy:  96.1%, Validation Accuracy:  61.7%,  Validation Loss: 3.513
Training Epoch 43 --- Training Accuracy:  98.4%, Validation Accuracy:  62.5%,  Validation Loss: 3.286
Training Epoch 44 --- Training Accuracy:  92.2%, Validation Accuracy:  57.8%,  Validation Loss: 3.925
Training Epoch 45 --- Training Accuracy:  99.2%, Validation Accuracy:  56.2%,  Validation Loss: 4.305
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 3.827
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 5.757
Training Epoch 48 --- Training Accuracy:  95.3%, Validation Accuracy:  61.7%,  Validation Loss: 4.611
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 4.735
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 5.181
Training Epoch 51 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 4.929
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 4.747
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 5.157
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 4.278
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 5.671
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 6.162
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 5.075
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 6.962
Training Epoch 59 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 5.806
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 6.064
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 7.288
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 7.205
Training Epoch 63 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 6.024
Training Epoch 64 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 8.745
Training Epoch 65 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 6.493
Training Epoch 66 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 6.791
Training Epoch 67 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 7.562
Training Epoch 68 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 7.329
Training Epoch 69 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 6.854
Training Epoch 70 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 7.285
Training Epoch 71 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 5.860
Training Epoch 72 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 7.571
Training Epoch 73 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 8.251
Training Epoch 74 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 6.695
Training Epoch 75 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 9.115
Training Epoch 76 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 7.544
Training Epoch 77 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 7.865
Training Epoch 78 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 9.335
Training Epoch 79 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 9.196
Training Epoch 80 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 7.648
Training Epoch 81 --- Training Accuracy: 100.0%, Validation Accuracy:  50.0%,  Validation Loss: 11.063
Training Epoch 82 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 8.093
Training Epoch 83 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 8.448
Training Epoch 84 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 9.352
Training Epoch 85 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 8.986
Training Epoch 86 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 8.374
Training Epoch 87 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 8.817
Training Epoch 88 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 7.073

