ining Epoch 1 --- Training Accuracy:  46.1%, Validation Accuracy:  71.1%,  Validation Loss: 0.809
Training Epoch 42 --- Training Accuracy:  85.9%, Validation Accuracy:  57.8%,  Validation Loss: 3.367
Training Epoch 43 --- Training Accuracy:  93.0%, Validation Accuracy:  60.9%,  Validation Loss: 3.373
Training Epoch 44 --- Training Accuracy:  93.8%, Validation Accuracy:  55.5%,  Validation Loss: 4.560
Training Epoch 45 --- Training Accuracy:  93.0%, Validation Accuracy:  50.0%,  Validation Loss: 4.888
Training Epoch 46 --- Training Accuracy:  89.1%, Validation Accuracy:  60.9%,  Validation Loss: 3.928
Training Epoch 47 --- Training Accuracy:  96.1%, Validation Accuracy:  50.8%,  Validation Loss: 4.752
Training Epoch 48 --- Training Accuracy:  83.6%, Validation Accuracy:  61.7%,  Validation Loss: 3.217
Training Epoch 49 --- Training Accuracy:  98.4%, Validation Accuracy:  66.4%,  Validation Loss: 3.271
Training Epoch 50 --- Training Accuracy:  87.5%, Validation Accuracy:  58.6%,  Validation Loss: 3.610
Training Epoch 51 --- Training Accuracy:  99.2%, Validation Accuracy:  59.4%,  Validation Loss: 3.890
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 3.617
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 3.754
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 3.336
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 4.747
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 4.605
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 4.112
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  51.6%,  Validation Loss: 5.896
Training Epoch 59 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 5.029
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 4.786
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 5.782
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 6.449
Training Epoch 63 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 5.001
Training Epoch 64 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 6.137
Training Epoch 65 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 4.419
Training Epoch 66 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 5.491
Training Epoch 67 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 6.351
Training Epoch 68 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 6.506
Training Epoch 69 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 5.938
Training Epoch 70 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 6.006
Training Epoch 71 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 5.259
Training Epoch 72 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 7.351
Training Epoch 73 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 6.912
Training Epoch 74 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 6.110
Training Epoch 75 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 8.652
Training Epoch 76 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 7.061
Training Epoch 77 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 6.722
Training Epoch 78 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 8.035
Training Epoch 79 --- Training Accuracy: 100.0%, Validation Accuracy:  51.6%,  Validation Loss: 8.750
Training Epoch 80 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 6.732
Training Epoch 81 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 8.162
Training Epoch 82 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 5.850
Training Epoch 83 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 7.239
Training Epoch 84 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 8.251
Training Epoch 85 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 8.434
Training Epoch 86 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 7.611
Training Epoch 87 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 7.511
Training Epoch 88 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 6.436
Training Epoch 89 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 8.824
Training Epoch 90 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 8.238
Training Epoch 91 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 7.141
Training Epoch 92 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 10.058
Training Epoch 93 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 8.124
Training Epoch 94 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 7.699
Training Epoch 95 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 9.151
Training Epoch 96 --- Training Accuracy: 100.0%, Validation Accuracy:  51.6%,  Validation Loss: 9.926
Training Epoch 97 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 7.595
Training Epoch 98 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 9.152
Training Epoch 99 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 6.559
Training Epoch 100 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 8.093
Training Epoch 101 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 9.178
Training Epoch 102 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 9.373
Training Epoch 103 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 8.437
Training Epoch 104 --- Training Accuracy: 100.0%, Validation Accuracy:  63.3%,  Validation Loss: 8.298
Training Epoch 105 --- Training Accuracy: 100.0%, Validation Accuracy:  67.2%,  Validation Loss: 7.107
Training Epoch 106 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 9.715
Training Epoch 107 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 9.102
Training Epoch 108 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 7.830
Training Epoch 109 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 11.030
Training Epoch 110 --- Training Accuracy: 100.0%, Validation Accuracy:  53.9%,  Validation Loss: 8.894
Training Epoch 111 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 8.413
Training Epoch 112 --- Training Accuracy: 100.0%, Validation Accuracy:  56.2%,  Validation Loss: 9.984
Training Epoch 113 --- Training Accuracy: 100.0%, Validation Accuracy:  51.6%,  Validation Loss: 10.842
Training Epoch 114 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 8.265
Training Epoch 115 --- Training Accuracy: 100.0%, Validation Accuracy:  55.5%,  Validation Loss: 9.920
Training Epoch 116 --- Training Accuracy: 100.0%, Validation Accuracy:  65.6%,  Validation Loss: 7.134
Training Epoch 117 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 8.760
Training Epoch 118 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 9.945
Training Epoch 119 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 10.159
Training Epoch 120 --- Training Accuracy: 100.0%, Validation Accuracy:  62.5%,  Validation Loss: 9.124

