ining Epoch 1 --- Training Accuracy:  46.1%, Validation Accuracy:  71.1%,  Validation Loss: 0.804
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  52.3%,  Validation Loss: 6.475
Training Epoch 59 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 5.810
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 5.706
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 7.113
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  48.4%,  Validation Loss: 7.661
Training Epoch 63 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 6.097
Training Epoch 64 --- Training Accuracy: 100.0%, Validation Accuracy:  46.9%,  Validation Loss: 8.610
Training Epoch 65 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 6.743
Training Epoch 66 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 6.991
Training Epoch 67 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 7.993
Training Epoch 68 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 7.611
Training Epoch 69 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 7.227
Training Epoch 70 --- Training Accuracy: 100.0%, Validation Accuracy:  60.9%,  Validation Loss: 8.338
Training Epoch 71 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 7.510
Training Epoch 72 --- Training Accuracy: 100.0%, Validation Accuracy:  52.3%,  Validation Loss: 9.710
Training Epoch 73 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 9.885
Training Epoch 74 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 8.341
Training Epoch 75 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 11.405
Training Epoch 76 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 10.035
Training Epoch 77 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 9.998
Training Epoch 78 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 12.399
Training Epoch 79 --- Training Accuracy: 100.0%, Validation Accuracy:  48.4%,  Validation Loss: 13.156
Training Epoch 80 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 10.271
Training Epoch 81 --- Training Accuracy: 100.0%, Validation Accuracy:  46.1%,  Validation Loss: 14.230
Training Epoch 82 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 10.683
Training Epoch 83 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 10.977
Training Epoch 84 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 12.366
Training Epoch 85 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 11.588
Training Epoch 86 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 10.632
Training Epoch 87 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 11.963
Training Epoch 88 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 10.481
Training Epoch 89 --- Training Accuracy: 100.0%, Validation Accuracy:  52.3%,  Validation Loss: 13.289
Training Epoch 90 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 13.243
Training Epoch 91 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 11.040
Training Epoch 92 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 14.761
Training Epoch 93 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 12.734
Training Epoch 94 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 12.543
Training Epoch 95 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 15.347
Training Epoch 96 --- Training Accuracy: 100.0%, Validation Accuracy:  48.4%,  Validation Loss: 16.048
Training Epoch 97 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 12.372
Training Epoch 98 --- Training Accuracy: 100.0%, Validation Accuracy:  46.1%,  Validation Loss: 17.051
Training Epoch 99 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 12.626
Training Epoch 100 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 12.832
Training Epoch 101 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 14.265
Training Epoch 102 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 13.270
Training Epoch 103 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 12.058
Training Epoch 104 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 13.448
Training Epoch 105 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 11.761
Training Epoch 106 --- Training Accuracy: 100.0%, Validation Accuracy:  52.3%,  Validation Loss: 14.801
Training Epoch 107 --- Training Accuracy: 100.0%, Validation Accuracy:  54.7%,  Validation Loss: 14.716
Training Epoch 108 --- Training Accuracy: 100.0%, Validation Accuracy:  61.7%,  Validation Loss: 12.249
Training Epoch 109 --- Training Accuracy: 100.0%, Validation Accuracy:  50.8%,  Validation Loss: 16.228
Training Epoch 110 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 13.947
Training Epoch 111 --- Training Accuracy: 100.0%, Validation Accuracy:  57.0%,  Validation Loss: 13.694
Training Epoch 112 --- Training Accuracy: 100.0%, Validation Accuracy:  53.1%,  Validation Loss: 16.724
Training Epoch 113 --- Training Accuracy: 100.0%, Validation Accuracy:  48.4%,  Validation Loss: 17.434
Training Epoch 114 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 13.399
Training Epoch 115 --- Training Accuracy: 100.0%, Validation Accuracy:  46.1%,  Validation Loss: 18.484
Training Epoch 116 --- Training Accuracy: 100.0%, Validation Accuracy:  57.8%,  Validation Loss: 13.645
Training Epoch 117 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 13.832
Training Epoch 118 --- Training Accuracy: 100.0%, Validation Accuracy:  59.4%,  Validation Loss: 15.326
Training Epoch 119 --- Training Accuracy: 100.0%, Validation Accuracy:  58.6%,  Validation Loss: 14.245
Training Epoch 120 --- Training Accuracy: 100.0%, Validation Accuracy:  60.2%,  Validation Loss: 12.923

