ining Epoch 1 --- Training Accuracy: 100.0%, Validation Accuracy:  69.5%,  Validation Loss: 1.794
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.611
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  81.2%,  Validation Loss: 1.366
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.941
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  81.2%,  Validation Loss: 1.330
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.887
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.608
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 1.833
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.772
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.674
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.124
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.679
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.736
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.230
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  66.4%,  Validation Loss: 2.367
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.680
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.532
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.649
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 1.860
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 1.186
Training Epoch 41 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.955
Training Epoch 42 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.478
Training Epoch 43 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 1.679
Training Epoch 44 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.258
Training Epoch 45 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.039
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.768
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.828
Training Epoch 48 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.876
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.643
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.501
Training Epoch 51 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.983
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.235
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.491
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  81.2%,  Validation Loss: 1.277
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.509
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.399
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.191
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.833
Training Epoch 59 --- Training Accuracy:  99.2%, Validation Accuracy:  77.3%,  Validation Loss: 1.574
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 1.634
Training Epoch 61 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.264
Training Epoch 62 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.779
Training Epoch 63 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.843
Training Epoch 64 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.788
Training Epoch 65 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.935
Training Epoch 66 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.499
Training Epoch 67 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 1.780
Training Epoch 68 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.382
Training Epoch 69 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.404
Training Epoch 70 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.042
Training Epoch 71 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.878
Training Epoch 72 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.795
Training Epoch 73 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.475
Training Epoch 74 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 1.268
Training Epoch 75 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.848
Training Epoch 76 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.508
Training Epoch 77 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.386
Training Epoch 78 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.137
Training Epoch 79 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.753
Training Epoch 80 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.829
Training Epoch 81 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.855
Training Epoch 82 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.955
Training Epoch 83 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.907
Training Epoch 84 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.659
Training Epoch 85 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.049
Training Epoch 86 --- Training Accuracy: 100.0%, Validation Accuracy:  68.8%,  Validation Loss: 2.236
Training Epoch 87 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.777
Training Epoch 88 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.605
Training Epoch 89 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.811
Training Epoch 90 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.657
Training Epoch 91 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 1.127
Training Epoch 92 --- Training Accuracy: 100.0%, Validation Accuracy:  75.8%,  Validation Loss: 1.822
Training Epoch 93 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 1.674
Training Epoch 94 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.769
Training Epoch 95 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.702
Training Epoch 96 --- Training Accuracy: 100.0%, Validation Accuracy:  71.1%,  Validation Loss: 2.066
Training Epoch 97 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.644
Training Epoch 98 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 1.678
Training Epoch 99 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 1.870
Training Epoch 100 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 1.605
Training Epoch 101 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 1.730
Training Epoch 102 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.571
Training Epoch 103 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 2.488
Training Epoch 104 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 1.785
Training Epoch 105 --- Training Accuracy: 100.0%, Validation Accuracy:  81.2%,  Validation Loss: 1.632
Training Epoch 106 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.822
Training Epoch 107 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 1.797
Training Epoch 108 --- Training Accuracy: 100.0%, Validation Accuracy:  86.7%,  Validation Loss: 1.105
Training Epoch 109 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.033
Training Epoch 110 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.700
Training Epoch 111 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.923

