ining Epoch 1 --- Training Accuracy:  89.1%, Validation Accuracy:  79.7%,  Validation Loss: 1.130
Training Epoch 19 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.134
Training Epoch 20 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 2.116
Training Epoch 21 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 1.905
Training Epoch 22 --- Training Accuracy: 100.0%, Validation Accuracy:  76.6%,  Validation Loss: 2.007
Training Epoch 23 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.734
Training Epoch 24 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.304
Training Epoch 25 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 3.199
Training Epoch 26 --- Training Accuracy: 100.0%, Validation Accuracy:  64.8%,  Validation Loss: 2.968
Training Epoch 27 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 1.649
Training Epoch 28 --- Training Accuracy: 100.0%, Validation Accuracy:  75.0%,  Validation Loss: 2.570
Training Epoch 29 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.492
Training Epoch 30 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.588
Training Epoch 31 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.413
Training Epoch 32 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 2.934
Training Epoch 33 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.670
Training Epoch 34 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 2.163
Training Epoch 35 --- Training Accuracy: 100.0%, Validation Accuracy:  83.6%,  Validation Loss: 1.982
Training Epoch 36 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.661
Training Epoch 37 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.618
Training Epoch 38 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.348
Training Epoch 39 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 2.426
Training Epoch 40 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 2.070
Training Epoch 41 --- Training Accuracy: 100.0%, Validation Accuracy:  72.7%,  Validation Loss: 2.787
Training Epoch 42 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 3.856
Training Epoch 43 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 3.529
Training Epoch 44 --- Training Accuracy: 100.0%, Validation Accuracy:  80.5%,  Validation Loss: 1.944
Training Epoch 45 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 3.003
Training Epoch 46 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.939
Training Epoch 47 --- Training Accuracy: 100.0%, Validation Accuracy:  73.4%,  Validation Loss: 2.995
Training Epoch 48 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 2.807
Training Epoch 49 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 3.464
Training Epoch 50 --- Training Accuracy: 100.0%, Validation Accuracy:  74.2%,  Validation Loss: 3.120
Training Epoch 51 --- Training Accuracy: 100.0%, Validation Accuracy:  78.9%,  Validation Loss: 2.491
Training Epoch 52 --- Training Accuracy: 100.0%, Validation Accuracy:  82.8%,  Validation Loss: 2.302
Training Epoch 53 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 3.079
Training Epoch 54 --- Training Accuracy: 100.0%, Validation Accuracy:  77.3%,  Validation Loss: 3.024
Training Epoch 55 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.702
Training Epoch 56 --- Training Accuracy: 100.0%, Validation Accuracy:  78.1%,  Validation Loss: 2.787
Training Epoch 57 --- Training Accuracy: 100.0%, Validation Accuracy:  79.7%,  Validation Loss: 2.353
Training Epoch 58 --- Training Accuracy: 100.0%, Validation Accuracy:  71.9%,  Validation Loss: 3.182
Training Epoch 59 --- Training Accuracy: 100.0%, Validation Accuracy:  70.3%,  Validation Loss: 4.433
Training Epoch 60 --- Training Accuracy: 100.0%, Validation Accuracy:  64.1%,  Validation Loss: 4.029

